Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.015208177122212,-0.0131857726362841,0.394661382337817,0,0,0,3.72525597469527,0.051917754939222,5.09320963830074E-06,0.000174857840302246,0.0504431487581522,4.78353426176242E-06,0.0549691919646313,0,0,0,0,0,0,package://haier_robot_urdf/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://haier_robot_urdf/meshes/base_link.STL,,haier_base-1/1S0-1224灯亚克力-d-1;haier_base-1/1S0-1224应急开关-d-1;haier_base-1/1S0-1224底盘1-d_默认_按加工_-1;haier_base-1/1S0-1224底盘盖-d-1;haier_base-1/1S0-1224身体下壳-d-1;haier_base-1/1S0-1224门1-d-1;haier_base-1/1S0-1224主体后壳1-d-1;haier_base-1/1S0-1224抽屉-d-1;haier_base-1/1S0-1224两侧-d(1)-1;haier_base-1/1S0-1224前盖--d-1;haier_base-1/1S0-1224音响-d-1;haier_base-1/1S0-1224达妙电机-d-1,base_link,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
neck_Link,0.0563099324233664,0.00297941950082348,0.11553169555657,0,0,0,0.806357974365624,0.00986701017228216,2.83551806143085E-06,0.000595830402910241,0.00349964300262238,-4.95984414605574E-06,0.00682265485069369,0,0,0,0,0,0,package://haier_robot_urdf/meshes/neck_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://haier_robot_urdf/meshes/neck_Link.STL,,haier_base-1/1S0-1224脖子_step-d-1;haier_base-1/1S0-1224haierrobot_后壳_step_1_step-d-1;haier_base-1/1S0-1224触摸屏-d-1;haier_base-1/1S0-1224haierrobot_前壳-d-1,neck_F,neck_axis,neck_joint,revolute,-0.0067673,-0.017538,0.9976,0,0,0,base_link,0,1,0,10,1,-0.3491,0.3491,,,,,,,,
scan_Link,-0.00230939162000302,2.42276250062047E-05,-0.00996561941203528,0,0,0,0.0157450897710222,3.9447773864193E-06,1.66306753422932E-08,5.82040781825313E-09,3.64063853241581E-06,-7.96182449637008E-10,6.92670576017216E-06,0,0,0,0,0,0,package://haier_robot_urdf/meshes/scan_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://haier_robot_urdf/meshes/scan_Link.STL,,haier_base-1/1S0-1224lds-e200-e_asm-d-1,scan_F,,scan_joint,fixed,0.12704,-0.01416,0.13331,0,0,0,base_link,0,0,0,,,,,,,,,,,,
chaosheng_Link,-0.0127921483251625,3.38404336589632E-06,-6.90118869750567E-06,0,0,0,0.016313845562298,3.6113884133947E-06,3.24550394970747E-10,-9.5276286504886E-10,2.11432977959425E-06,-3.15704327674719E-09,4.19822360391221E-06,0,0,0,0,0,0,package://haier_robot_urdf/meshes/chaosheng_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://haier_robot_urdf/meshes/chaosheng_Link.STL,,haier_base-1/1S0-1224DYP-RD-A21封装3D图-d-1,chaoS_F,,chaosheng_joint,fixed,0.20434,-0.014464,0.070965,0,0,0,base_link,0,0,0,,,,,,,,,,,,
left_wheel_Link,6.31346567474128E-05,-0.00222664462751201,3.51822847494965E-05,0,0,0,0.596488530548554,0.000652657202596767,4.81423803443158E-08,-3.46080631342875E-08,0.00100158221862475,3.08930978937317E-08,0.000652713860733464,0,0,0,0,0,0,package://haier_robot_urdf/meshes/left_wheel_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://haier_robot_urdf/meshes/left_wheel_Link.STL,,haier_base-1/1S0-1224轮毂电机-d-2,le_wheel_F,l_wheel_axis,left_wheel_joint,continuous,-0.024663,0.16656,0.044971,0,0,0,base_link,0,1,0,,,,,,,,,,,,
right_wheel_Link,-6.6493676204437E-05,0.00222664462751204,2.8326119883168E-05,0,0,0,0.596488530548553,0.000652650572407517,5.11325935651953E-08,2.78945237552811E-08,0.00100158221862475,-2.56423508338513E-08,0.000652720490922716,0,0,0,0,0,0,package://haier_robot_urdf/meshes/right_wheel_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://haier_robot_urdf/meshes/right_wheel_Link.STL,,haier_base-1/1S0-1224轮毂电机-d-1,ri_wheel_F,r_wheel_axis,right_wheel_joint,continuous,-0.0246634666708763,-0.194936002887546,0.0449708734659776,0,0,0,base_link,0,-1,0,,,,,,,,,,,,
base_camera_Link,0.208710445348841,0.00127692879832611,0.309044823070044,0,0,0,9.14104878507359,0.405423914128671,-0.00481231463720316,-0.488066543135856,1.49213453202913,-0.0022799911552727,1.3347034177817,0,0,0,0,0,0,package://haier_robot_urdf/meshes/base_camera_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://haier_robot_urdf/meshes/base_camera_Link.STL,,haier_base-1/1S0-1224双目-d-4,base_camera,Axis_base_camera_joint,base_camera_joint,fixed,0.179665327641176,-0.0141860037279062,0.0950579865488091,0,-1.13446401379632,0,base_link,0,0,0,,,,,,,,,,,,
x_camera_Link,0.404357159008212,0.00136114627897602,-0.400533699867706,0,0,0,9.14104878507359,0.794847678155582,0.00410014578532246,0.66965782656915,1.49213453202914,-0.00339787233054215,0.945279653754786,0,0,0,0,0,0,package://haier_robot_urdf/meshes/x_camera_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://haier_robot_urdf/meshes/x_camera_Link.STL,,haier_base-1/1S0-1224双目-d-3,x_camera,neck_axis,x_camera_joint,fixed,0.0346912869368974,-0.0142702212085561,0.982035528560661,0,0.872664625997166,0,base_link,0,0,0,,,,,,,,,,,,
chuan_xyjc1_Link,-0.0077305658372978,0.000323032683364189,-0.00015208257015778,0,0,0,0.0025055192625433,1.61617880288873E-07,3.67544297318429E-09,-5.09748788346259E-09,1.57537615353748E-07,1.4333836959899E-08,4.98944906305431E-08,0,0,0,0,0,0,package://haier_robot_urdf/meshes/chuan_xyjc1_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://haier_robot_urdf/meshes/chuan_xyjc1_Link.STL,,haier_base-1/1S0-1224红外测距传感器-d-3,chuan_xyjc1_F,,chuan_xyjc1_joint,fixed,-0.2107,0.028031,0.0031058,0,1.5708,0,base_link,0,0,0,,,,,,,,,,,,
chuan_xyjc2_Link,-0.0077305658372978,0.000323032683364192,-0.00015208257015778,0,0,0,0.0025055192625433,1.61617880288873E-07,3.67544297318429E-09,-5.0974878834626E-09,1.57537615353748E-07,1.4333836959899E-08,4.98944906305431E-08,0,0,0,0,0,0,package://haier_robot_urdf/meshes/chuan_xyjc2_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://haier_robot_urdf/meshes/chuan_xyjc2_Link.STL,,haier_base-1/1S0-1224红外测距传感器-d-4,chuan_xyjc2_F,Axis_chuan_xyjc2_joint,chuan_xyjc2_joint,fixed,-0.210704939279154,-0.0564031266702247,0.00310579090011698,0,1.5707963267949,0,base_link,0,0,0,,,,,,,,,,,,
chuan_xyjc3_Link,-0.00773056583729781,0.000323032683364192,-0.00015208257015778,0,0,0,0.0025055192625433,1.61617880288873E-07,3.6754429731843E-09,-5.0974878834626E-09,1.57537615353748E-07,1.43338369598991E-08,4.98944906305431E-08,0,0,0,0,0,0,package://haier_robot_urdf/meshes/chuan_xyjc3_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://haier_robot_urdf/meshes/chuan_xyjc3_Link.STL,,haier_base-1/1S0-1224红外测距传感器-d-1,chuan_xyjc3_F,Axis_chuan_xyjc3_joint,chuan_xyjc3_joint,fixed,0.179029522320545,0.0280311208941199,0.00310579090011698,0,1.5707963267949,0,base_link,0,0,0,,,,,,,,,,,,
chuan_xyjc4_Link,-0.00773056583729781,0.000323032683364199,-0.00015208257015778,0,0,0,0.0025055192625433,1.61617880288873E-07,3.67544297318429E-09,-5.0974878834626E-09,1.57537615353748E-07,1.4333836959899E-08,4.98944906305431E-08,0,0,0,0,0,0,package://haier_robot_urdf/meshes/chuan_xyjc4_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://haier_robot_urdf/meshes/chuan_xyjc4_Link.STL,,haier_base-1/1S0-1224红外测距传感器-d-2,chuan_xyjc4_F,,chuan_xyjc4_joint,fixed,0.17903,-0.056403,0.0031058,0,1.5708,0,base_link,0,0,0,,,,,,,,,,,,
right_arm_base_Link,-0.0024851,-0.00012523,-0.0036536,0,0,0,0.15802,0.00020336,2.8345E-08,8.2174E-07,0.00013459,8.3777E-07,0.00015909,0,0,0,0,0,0,package://haier_robot_urdf/meshes/right_arm_base_Link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://haier_robot_urdf/meshes/right_arm_base_Link.STL,,haier_base-1/right arm-4/胳膊-8-1322-1,r_arm_base_F,,right_arm_base_joint,fixed,-0.015245,-0.10748,0.9334,0,0,-1.5708,base_link,0,0,0,,,,,,,,,,,,
r_J1_Link,0.0182323557588279,5.34505382697309E-05,0.00410858432914529,0,0,0,0.0216692957223154,2.47760885915804E-05,1.46218832817897E-08,9.25856456839743E-07,1.41277250474151E-05,2.02213305855636E-07,2.81583665402779E-05,0,0,0,0,0,0,package://haier_robot_urdf/meshes/r_J1_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://haier_robot_urdf/meshes/r_J1_Link.STL,,haier_base-1/right arm-4/胳膊-7-1322-1,r_J1_F,r_J1_axis,r_J1_joint,revolute,0.041393,0.00060277,0.017625,0,0,0,right_arm_base_Link,-1,0,0,0,0,0,0,,,,,,,,
